date_time,day,year,humidity,precipMM,pressure,tempC,visibility,windspeedKmph,location
3/1/2019,1,2019,52,0,1024,3,10,13,boston
3/2/2019,2,2019,70,14.4,1017,2,5,13,boston
3/3/2019,3,2019,63,0.8,1012,3,9,16,boston
3/4/2019,4,2019,68,35.1,1006,4,4,20,boston
3/5/2019,5,2019,53,0.4,1017,-3,9,16,boston
3/6/2019,6,2019,55,0.5,1018,-5,9,17,boston
3/7/2019,7,2019,55,0.4,1022,-3,9,16,boston
3/8/2019,8,2019,54,0,1025,1,10,16,boston
3/9/2019,9,2019,64,0,1025,5,10,11,boston
3/10/2019,10,2019,68,14.3,1026,2,7,15,boston
3/11/2019,11,2019,71,0,1008,7,8,19,boston
3/12/2019,12,2019,60,0,1014,3,10,19,boston
3/13/2019,13,2019,57,0.2,1024,5,10,16,boston
3/14/2019,14,2019,72,0.9,1024,10,9,11,boston
3/15/2019,15,2019,92,3.2,1012,13,9,17,boston
3/16/2019,16,2019,59,2.7,1009,8,10,22,boston
3/17/2019,17,2019,38,0,1019,5,20,17,boston
3/18/2019,18,2019,40,0,1024,6,20,10,boston
3/19/2019,19,2019,44,0,1028,6,11,9,boston
3/20/2019,20,2019,46,0,1029,10,10,9,boston
3/21/2019,21,2019,57,0,1022,9,10,12,boston
3/22/2019,22,2019,82,14.7,995,6,8,20,boston
3/23/2019,23,2019,60,6.6,1000,8,6,26,boston
3/24/2019,24,2019,38,0,1016,14,10,17,boston
3/25/2019,25,2019,41,0,1017,9,10,11,boston
3/26/2019,26,2019,36,0,1023,7,10,11,boston
3/27/2019,27,2019,39,0,1032,8,10,10,boston
3/28/2019,28,2019,53,0,1029,11,20,16,boston
3/29/2019,29,2019,72,3.9,1020,13,17,15,boston
3/30/2019,30,2019,71,0.7,1015,19,12,17,boston
3/31/2019,31,2019,76,21.8,1007,16,7,21,boston
3/1/2020,1,2020,42,0,1014,0,10,17,boston
3/2/2020,2,2020,59,0,1018,7,10,12,boston
3/3/2020,3,2020,80,0,1007,13,10,14,boston
3/4/2020,4,2020,61,5.5,998,8,9,26,boston
3/5/2020,5,2020,48,0,1012,9,10,17,boston
3/6/2020,6,2020,67,0.3,1012,7,10,12,boston
3/7/2020,7,2020,41,0.1,1016,4,6,26,boston
3/8/2020,8,2020,37,0,1025,10,10,14,boston
3/9/2020,9,2020,57,0,1023,16,10,12,boston
3/10/2020,10,2020,64,0.2,1018,15,10,18,boston
3/11/2020,11,2020,48,0.7,1016,10,9,15,boston
3/12/2020,12,2020,61,0,1021,8,10,10,boston
3/13/2020,13,2020,75,11,1014,14,6,21,boston
3/14/2020,14,2020,46,0,1020,10,10,23,boston
3/15/2020,15,2020,37,0,1030,8,10,16,boston
3/16/2020,16,2020,49,0,1036,2,10,14,boston
3/17/2020,17,2020,78,2.2,1024,8,10,17,boston
3/18/2020,18,2020,47,0,1029,9,10,14,boston
3/19/2020,19,2020,79,12.7,1032,5,7,14,boston
3/20/2020,20,2020,92,6.8,1013,18,5,16,boston
3/21/2020,21,2020,44,0,1021,7,10,20,boston
3/22/2020,22,2020,41,0,1038,3,10,12,boston
3/23/2020,23,2020,59,1.2,1036,5,9,13,boston
3/24/2020,24,2020,88,40.7,1019,9,7,12,boston
3/25/2020,25,2020,76,0.6,1021,6,10,15,boston
3/26/2020,26,2020,68,0,1017,7,10,13,boston
3/27/2020,27,2020,86,16.4,1009,6,9,9,boston
3/28/2020,28,2020,40,0,1020,11,10,9,boston
3/29/2020,29,2020,82,13.2,1020,6,9,20,boston
3/30/2020,30,2020,89,8.4,1009,10,5,15,boston
3/31/2020,31,2020,78,2.3,1014,3,8,20,boston
